cards from: /Users/luna/subject-resources/sixth-form/cards/languages/spanish/a2-aqa/unit6.txt
Round 1:
✗ approaching (starts with v) (masculine)                       venidero
✓ the uprising (starts with L)                                  el levantamiento
✗ Public prosecutor (answer this with a capital and no article) Fiscalía
✓ the inheritance (starts with h, also "lecacy")                la herencia
✓ to intimidate (starts with a)                                 amedrentar
✗ to corrupt (starts with c)                                    corromper
✗ to look out for (starts with v)                               velar
✓ to threaten                                                   amenazar
✓ to bankrupt                                                   quebrar
✗ approaching (starts with v) (feminine)                        venidera
Score: 9/16 (56.25%)

Round 3:
✓ the leadership (starts with c)                                la cúpula
✓ the unfurling                                                 el despliegue
✓ approaching (starts with v) (masculine)                       venidero
✓ Public prosecutor (answer this with a capital and no article) Fiscalía
✗ to corrupt (starts with c)                                    corromper
✓ to look out for (starts with v)                               velar
✓ approaching (starts with v) (feminine)                        venidera
Score: 6/7 (85.71428571428571%)

Round 4:
✓ to corrupt (starts with c)                                    corromper
Score: 1/1 (100.0%)

max_streak = 48
perfect_streak = False
