cards from: /Users/luna/flash-cards/languages/spanish/aqa/GCSE/unit3.txt
Round 1:
✓ police, detective, crime (adj.) (feminine)                policíaca
✓ the green beans                                           las judías verdes
✓ balanced (feminine)                                       equilibrada
✓ nice (this word is used to describe a person) (masculine) simpático
✓ the olive                                                 la aceituna
✓ indian (masculine)                                        indio
✓ the loaf (starts with b)                                  la barra
✓ the training                                              el entrenamiento
✓ the pulses                                                los legumbres
✓ to have a good time                                       pasarlo bien
✓ the spaghetti                                             el espagueti
✓ the lamb                                                  el cordero
✗ entertaining (feminine)                                   entretenida
✓ the race (also "career")                                  la carrera
✓ the lunch, food, meal                                     la comida
✓ the peas (starts with g)                                  los guisantes
✓ to take, have (food, drink)                               tomar
Score: 20/21 (95.23809523809523%)

Round 3:
✓ entertaining (feminine)                                   entretenida
Score: 1/1 (100.0%)

No. terms in the card set = 176
highest_streak = 28
perfect_streak = False
