cards from: /Users/luna/flash-cards/languages/spanish/aqa/GCSE/unit4.txt
Round 1:
✓ the banger (british slang for firecracker, had to look that up) el petardo
✓ hispanic (i.e of the spanish speaking world) (feminine)         hispánica
✓ the wood                                                        la madera
✓ the flower                                                      la flor
✓ the wife (starts with m)                                        la marida
✓ to wear, take, carry                                            llevar
Score: 176/177 (99.43502824858757%)

Round 2:
✗ to wake up (reflexive)                                          despertarse
Score: 0/1 (0.0%)

Round 3:
✓ to wake up (reflexive)                                          despertarse
Score: 1/1 (100.0%)

No. terms in the card set = 177
highest_streak = 131
perfect_streak = False
