cards from: /Users/luna/subject-resources/sixth-form/cards/languages/spanish/a2-aqa/unit6.txt
Round 1:
✗ the hopelessness (starts with d)                              la desesperación
✓ to broadcast (starts with d)                                  difundir
✓ to encourage (starts with a)                                  animar
✓ the austerity                                                 la austeridad
✓ Public prosecutor (answer this with a capital and no article) Fiscalía
✗ the leadership (starts with c)                                la cúpula
✓ the detractors (female)                                       las detractoras
✓ the gag                                                       la mordaza
Score: 9/12 (75.0%)

Round 3:
✓ to intimidate (starts with a)                                 amedrentar
✗ the hopelessness (starts with d)                              la desesperación
✓ the leadership (starts with c)                                la cúpula
Score: 2/3 (66.66666666666666%)

Round 4:
✗ the hopelessness (starts with d)                              la desesperación
Score: 0/1 (0.0%)

Round 5:
✓ the hopelessness (starts with d)                              la desesperación
Score: 1/1 (100.0%)

max_streak = 29
perfect_streak = False
