cards from: /Users/luna/subject-resources/sixth-form/cards/languages/spanish/a2-aqa/unit2.txt
Round 1:
✓ the slum dweller (male)                                 el chabolista
✓ to make an effort (starts with h 3 words)               hacer un esfuerzo
✓ the quarrel, altercation                                el altercado
✓ the attacker (male)                                     el agresor
✓ to make an effort (starts with e) (reflexive)           esforzarse
✓ to reach                                                alcanzar
✓ the judge (male)                                        el juez
✓ to act                                                  actuar
✓ the death penalty                                       la pena de muerte
✓ to fine                                                 multar
✓ to expel                                                expulsar
✓ to ban, to prohibit                                     prohibir
✓ awareness (starts with s)                               la sensibilización
✓ to guarantee                                            garantizar
✓ to set an example (2 words)                             dar ejemplo
✗ to astonish, to amaze                                   asombrar
✗ to suffer (starts with p)                               padecer
✓ to welcome                                              acoger
✓ the gesture                                             el gesto
✓ to criminalise                                          criminalizar
✓ the spokesman                                           el portavoz
✗ to tackle                                               abordar
✗ the criminal record                                     los antecedentes penales
✓ disabled (starts with d) (feminine)                     discapacitada
✓ to slap somebody (3 words)                              dar un manotazo
✓ the goal (starts with m)                                la meta
✗ to surprise (starts with s)                             sorprender
✓ the criminal, delinquent (male)                         el delincuente
Score: 165/191 (86.38743455497382%)

Round 2:
✓ to beat (3 words)                                       dar/propinar una paliza
✓ to come from (starts with p)                            proceder de
✓ the house arrest                                        el arresto domiciliario
✓ blind (masculine)                                       ciego
✓ to discourage                                           desalentar
✗ to compensate (starts with i)                           indemnizar
✗ to grant (starts with c)                                conceder
✓ to sing racist chants                                   entonar cantos racistas
✗ the grandstand                                          la grada
✓ the (short) story (starts with r)                       el relato
✓ the harassment/poor treatment                           las vejaciones
✓ the slap                                                la bofetada
✓ the benefits (starts with p)                            las prestaciones
✓ the warning                                             el aviso
✓ to get angry (reflexive)                                enfadarse
✓ two yearly                                              bienal
✗ the stir/disturbance                                    el revuelo
✓ the compensation (starts with i)                        la indemnización
✓ the identity card (4 words)                             el carnet de identidad
✓ the graffiti                                            las pintadas
✗ to label (starts with e)                                etiquetar
✗ to astonish, to amaze                                   asombrar
✓ to suffer (starts with p)                               padecer
✓ to tackle                                               abordar
✓ the criminal record                                     los antecedentes penales
✓ to surprise (starts with s)                             sorprender
Score: 20/26 (76.92307692307693%)

Round 3:
✓ to compensate (starts with i)                           indemnizar
✓ to grant (starts with c)                                conceder
✓ the grandstand                                          la grada
✓ the stir/disturbance                                    el revuelo
✓ to label (starts with e)                                etiquetar
✓ to astonish, to amaze                                   asombrar
Score: 6/6 (100.0%)

max_streak = 32
perfect_streak = False
