cards from: /Users/luna/subject-resources/sixth-form/cards/languages/spanish/a2-aqa/unit1.txt
Round 1:
Score: 164/171 (95.90643274853801%)

Round 2:
✓ the wall/border (starts with v)                    la valla
✓ to drown (reflexive)                               ahogarse
✓ to yearn                                           anhelar
✓ the ancestry                                       la ascendencia
✓ to process (paperwork)                             tramitar
✓ to arrest (starts with a)                          apresar
✓ to live (starts with r)                            residir
Score: 7/7 (100.0%)

max_streak = 69
perfect_streak = False
